RowCount,Singer,Language,Song,Word
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,You've
1,Selena Gomez,English,Rare,Been
1,Selena Gomez,English,Rare,So
1,Selena Gomez,English,Rare,Distant
1,Selena Gomez,English,Rare,From
1,Selena Gomez,English,Rare,Me
1,Selena Gomez,English,Rare,Lately
1,Selena Gomez,English,Rare,Lately
1,Selena Gomez,English,Rare,And
1,Selena Gomez,English,Rare,Lately
1,Selena Gomez,English,Rare,And
1,Selena Gomez,English,Rare,Lately
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,Even
1,Selena Gomez,English,Rare,Want
1,Selena Gomez,English,Rare,To
1,Selena Gomez,English,Rare,Call
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Saw
1,Selena Gomez,English,Rare,Us
1,Selena Gomez,English,Rare,Getting
1,Selena Gomez,English,Rare,Older
1,Selena Gomez,English,Rare,Older
1,Selena Gomez,English,Rare,Burning
1,Selena Gomez,English,Rare,Toast
1,Selena Gomez,English,Rare,In
1,Selena Gomez,English,Rare,The
1,Selena Gomez,English,Rare,Toaster
1,Selena Gomez,English,Rare,My
1,Selena Gomez,English,Rare,Ambitions
1,Selena Gomez,English,Rare,Were
1,Selena Gomez,English,Rare,Too
1,Selena Gomez,English,Rare,High
1,Selena Gomez,English,Rare,High
1,Selena Gomez,English,Rare,Waiting
1,Selena Gomez,English,Rare,Up
1,Selena Gomez,English,Rare,For
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Upstairs
1,Selena Gomez,English,Rare,Upstairs
1,Selena Gomez,English,Rare,Why
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Act
1,Selena Gomez,English,Rare,Like
1,Selena Gomez,English,Rare,I'm
1,Selena Gomez,English,Rare,Not
1,Selena Gomez,English,Rare,There
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Right
1,Selena Gomez,English,Rare,Now
1,Selena Gomez,English,Rare,It
1,Selena Gomez,English,Rare,Feels
1,Selena Gomez,English,Rare,Like
1,Selena Gomez,English,Rare,It
1,Selena Gomez,English,Rare,Feels
1,Selena Gomez,English,Rare,Like
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,Care
1,Selena Gomez,English,Rare,Oh
1,Selena Gomez,English,Rare,Why
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Recognize
1,Selena Gomez,English,Rare,I'm
1,Selena Gomez,English,Rare,So
1,Selena Gomez,English,Rare,Rare
1,Selena Gomez,English,Rare,Always
1,Selena Gomez,English,Rare,There
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,Do
1,Selena Gomez,English,Rare,The
1,Selena Gomez,English,Rare,Same
1,Selena Gomez,English,Rare,For
1,Selena Gomez,English,Rare,Me
1,Selena Gomez,English,Rare,That's
1,Selena Gomez,English,Rare,Not
1,Selena Gomez,English,Rare,Fair
1,Selena Gomez,English,Rare,I
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,Have
1,Selena Gomez,English,Rare,It
1,Selena Gomez,English,Rare,All
1,Selena Gomez,English,Rare,I'm
1,Selena Gomez,English,Rare,Not
1,Selena Gomez,English,Rare,Claiming
1,Selena Gomez,English,Rare,To
1,Selena Gomez,English,Rare,But
1,Selena Gomez,English,Rare,I
1,Selena Gomez,English,Rare,Know
1,Selena Gomez,English,Rare,That
1,Selena Gomez,English,Rare,I'm
1,Selena Gomez,English,Rare,Special
1,Selena Gomez,English,Rare,Special
1,Selena Gomez,English,Rare,Yeah
1,Selena Gomez,English,Rare,And
1,Selena Gomez,English,Rare,I'll
1,Selena Gomez,English,Rare,Bet
1,Selena Gomez,English,Rare,There's
1,Selena Gomez,English,Rare,Somebody
1,Selena Gomez,English,Rare,Else
1,Selena Gomez,English,Rare,Out
1,Selena Gomez,English,Rare,There
1,Selena Gomez,English,Rare,To
1,Selena Gomez,English,Rare,Tell
1,Selena Gomez,English,Rare,Me
1,Selena Gomez,English,Rare,I'm
1,Selena Gomez,English,Rare,Rare
1,Selena Gomez,English,Rare,To
1,Selena Gomez,English,Rare,Make
1,Selena Gomez,English,Rare,Me
1,Selena Gomez,English,Rare,Feel
1,Selena Gomez,English,Rare,Rare
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Baby
1,Selena Gomez,English,Rare,Don't
1,Selena Gomez,English,Rare,Make
1,Selena Gomez,English,Rare,Me
1,Selena Gomez,English,Rare,Count
1,Selena Gomez,English,Rare,Up
1,Selena Gomez,English,Rare,All
1,Selena Gomez,English,Rare,The
1,Selena Gomez,English,Rare,Reasons
1,Selena Gomez,English,Rare,To
1,Selena Gomez,English,Rare,Stay
1,Selena Gomez,English,Rare,With
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,No
1,Selena Gomez,English,Rare,Reason
1,Selena Gomez,English,Rare,No
1,Selena Gomez,English,Rare,Reason
1,Selena Gomez,English,Rare,Why
1,Selena Gomez,English,Rare,You
1,Selena Gomez,English,Rare,And
1,Selena Gomez,English,Rare,I
1,Selena Gomez,English,Rare,Are
1,Selena Gomez,English,Rare,Not
1,Selena Gomez,English,Rare,Succeeding
1,Selena Gomez,English,Rare,Saw
1,Selena Gomez,English,Rare,Us
1,Selena Gomez,English,Rare,Getting
1,Selena Gomez,English,Rare,Older
1,Selena Gomez,English,Rare,Older
1,Selena Gomez,English,Rare,Burning
1,Selena Gomez,English,Rare,Toast
