State Name	ISO	ANSI	ANSI2	USPS	USCG	GPO	AP
Alabama	US-AL	AL	01	AL	AL	Ala.	Ala.
Alaska	US-AK	AK	02	AK	AK	Alaska	Alaska
Arizona	US-AZ	AZ	04	AZ	AZ	Ariz.	Ariz.
Arkansas	US-AR	AR	05	AR	AR	Ark.	Ark.
California	US-CA	CA	06	CA	CF	Calif.	Calif.
Colorado	US-CO	CO	08	CO	CL	Colo.	Colo.
Connecticut	US-CT	CT	09	CT	CT	Conn.	Conn.
Delaware	US-DE	DE	10	DE	DL	Del.	Del.
Florida	US-FL	FL	12	FL	FL	Fla.	Fla.
Georgia	US-GA	GA	13	GA	GA	Ga.	Ga.
Hawaii	US-HI	HI	15	HI	HA	Hawaii	Hawaii
Idaho	US-ID	ID	16	ID	ID	Idaho	Idaho
Illinois	US-IL	IL	17	IL	IL	Ill.	Ill.
Indiana	US-IN	IN	18	IN	IN	Ind.	Ind.
Iowa	US-IA	IA	19	IA	IA	Iowa	Iowa
Kansas	US-KS	KS	20	KS	KA	Kans.	Kan.
Kentucky	US-KY	KY	21	KY	KY	Ky.	Ky.
Louisiana	US-LA	LA	22	LA	LA	La.	La.
Maine	US-ME	ME	23	ME	ME	Maine	Maine
Maryland	US-MD	MD	24	MD	MD	Md.	Md.
Massachusetts	US-MA	MA	25	MA	MS	Mass.	Mass.
Michigan	US-MI	MI	26	MI	MC	Mich.	Mich.
Minnesota	US-MN	MN	27	MN	MN	Minn.	Minn.
Mississippi	US-MS	MS	28	MS	MI	Miss.	Miss.
Missouri	US-MO	MO	29	MO	MO	Mo.	Mo.
Montana	US-MT	MT	30	MT	MT	Mont.	Mont.
Nebraska	US-NE	NE	31	NE	NB	Nebr.	Neb.
Nevada	US-NV	NV	32	NV	NV	Nev.	Nev.
New Hampshire	US-NH	NH	33	NH	NH	N.H.	N.H.
New Jersey	US-NJ	NJ	34	NJ	NJ	N.J.	N.J.
New Mexico	US-NM	NM	35	NM	NM	N. Mex.	N.M.
New York	US-NY	NY	36	NY	NY	N.Y.	N.Y.
North Carolina	US-NC	NC	37	NC	NC	N.C.	N.C.
North Dakota	US-ND	ND	38	ND	ND	N. Dak.	N.D.
Ohio	US-OH	OH	39	OH	OH	Ohio	Ohio
Oklahoma	US-OK	OK	40	OK	OK	Okla.	Okla.
Oregon	US-OR	OR	41	OR	OR	Oreg.	Ore.
Pennsylvania	US-PA	PA	42	PA	PA	Pa.	Pa.
Rhode Island	US-RI	RI	44	RI	RI	R.I.	R.I.
South Carolina	US-SC	SC	45	SC	SC	S.C.	S.C.
South Dakota	US-SD	SD	46	SD	SD	S. Dak.	S.D.
Tennessee	US-TN	TN	47	TN	TN	Tenn.	Tenn.
Texas	US-TX	TX	48	TX	TX	Tex.	Texas
Utah	US-UT	UT	49	UT	UT	Utah	Utah
Vermont	US-VT	VT	50	VT	VT	Vt.	Vt.
Virginia	US-VA	VA	51	VA	VA	Va.	Va.
Washington	US-WA	WA	53	WA	WN	Wash.	Wash.
West Virginia	US-WV	WV	54	WV	WV	W. Va.	W.Va.
Wisconsin	US-WI	WI	55	WI	WS	Wis.	Wis.
Wyoming	US-WY	WY	56	WY	WY	Wyo.	Wyo.
